model	language	n	pairwise_accuracy	mean_delta	median_delta
EleutherAI/gpt-neo-125M	English	34	0.7941176470588235	1.2371132449699873	0.5168162687516316
EleutherAI/gpt-neo-125M	French	55	0.6727272727272727	0.45096607250275905	0.1531166097750254
EleutherAI/gpt-neo-125M	Italian	36	0.5555555555555556	0.11107456459528292	0.17153817819704753
Qwen/Qwen3-0.6B	English	34	0.7647058823529411	1.3326131918126616	0.7577488618592423
Qwen/Qwen3-0.6B	French	55	0.7272727272727273	0.5323382657319119	0.26173518597841383
Qwen/Qwen3-0.6B	Italian	36	0.5	0.08772159263463697	0.014137703990067862
gpt2	English	34	0.7647058823529411	1.1348160888761187	0.6541588141893346
gpt2	French	55	0.6545454545454545	0.483212495800123	0.3125436326695814
gpt2	Italian	36	0.5833333333333334	0.20398518019032044	0.08825707254665227
EleutherAI/gpt-neo-125M	ALL	125	0.672	0.5669093491364919	0.2323870616658641
Qwen/Qwen3-0.6B	ALL	125	0.672	0.6219634437738606	0.26173518597841383
gpt2	ALL	125	0.664	0.5800312062211707	0.30660253431162143
