representation	view	split	label	n	accuracy	balanced_accuracy	macro_f1	n_splits
majority	none	random	polarity	688	0.8183139534883721	0.3333333333333333	0.30002664535038637	5.0
tfidf_char_3_5	marker_only	random	polarity	688	0.8677325581395349	0.5780180200695298	0.6375312982135344	5.0
tfidf_char_3_5	marker_scope	random	polarity	688	0.8430232558139535	0.4724618681101807	0.5183074408678426	5.0
tfidf_char_3_5	context_only_1	random	polarity	688	0.8386627906976745	0.4304663660791547	0.44755625260058257	5.0
tfidf_char_3_5	context_marker_1	random	polarity	688	0.8430232558139535	0.4453078744819419	0.4614229914988129	5.0
tfidf_char_3_5	context_marker_scope_1	random	polarity	688	0.8415697674418605	0.4521575720510001	0.4802326106947725	5.0
tfidf_char_3_5	context_only_3	random	polarity	688	0.8386627906976745	0.43569248986655734	0.4512293806411454	5.0
tfidf_char_3_5	context_marker_3	random	polarity	688	0.8415697674418605	0.44210274627681373	0.4580630149735841	5.0
tfidf_char_3_5	context_marker_scope_3	random	polarity	688	0.8386627906976745	0.4383055517602587	0.4531819456125596	5.0
tfidf_char_3_5	context_only_5	random	polarity	688	0.8357558139534884	0.4524023686989939	0.47737074881805697	5.0
tfidf_char_3_5	context_marker_5	random	polarity	688	0.8357558139534884	0.4524023686989939	0.47737074881805697	5.0
tfidf_char_3_5	context_marker_scope_5	random	polarity	688	0.8313953488372093	0.4506261697647133	0.47365085563055104	5.0
tfidf_char_3_5	context_only_10	random	polarity	688	0.8343023255813954	0.4697043138428574	0.5009790119742314	5.0
tfidf_char_3_5	context_marker_10	random	polarity	688	0.8313953488372093	0.46852018122000355	0.49771392427938915	5.0
tfidf_char_3_5	context_marker_scope_10	random	polarity	688	0.8270348837209303	0.46674398228572295	0.49419634438451315	5.0
tfidf_char_3_5	context_only_20	random	polarity	688	0.815406976744186	0.46984663747541194	0.48718195481003496	5.0
tfidf_char_3_5	context_marker_20	random	polarity	688	0.8168604651162791	0.4704387037868388	0.4883575679568641	5.0
tfidf_char_3_5	context_marker_scope_20	random	polarity	688	0.813953488372093	0.469254571163985	0.48601532567049804	5.0
majority	none	lemma_group	polarity	688	0.8183139534883721	0.3333333333333333	0.30002664535038637	5.0
tfidf_char_3_5	marker_only	lemma_group	polarity	688	0.8284883720930233	0.46534893959405504	0.488792640505528	5.0
tfidf_char_3_5	marker_scope	lemma_group	polarity	688	0.815406976744186	0.3399883863915835	0.31729396331166243	5.0
tfidf_char_3_5	context_only_1	lemma_group	polarity	688	0.8168604651162791	0.37193719542742637	0.3739138159382369	5.0
tfidf_char_3_5	context_marker_1	lemma_group	polarity	688	0.809593023255814	0.36897686387029194	0.3697915750077727	5.0
tfidf_char_3_5	context_marker_scope_1	lemma_group	polarity	688	0.8052325581395349	0.3593614792549073	0.3560328206608225	5.0
tfidf_char_3_5	context_only_3	lemma_group	polarity	688	0.8081395348837209	0.36838479755886505	0.3689876566240711	5.0
tfidf_char_3_5	context_marker_3	lemma_group	polarity	688	0.8052325581395349	0.3672006649360113	0.3678847410190694	5.0
tfidf_char_3_5	context_marker_scope_3	lemma_group	polarity	688	0.8008720930232558	0.3628114041080293	0.36261025795909513	5.0
tfidf_char_3_5	context_only_5	lemma_group	polarity	688	0.8037790697674418	0.3692216605182857	0.3714001568267447	5.0
tfidf_char_3_5	context_marker_5	lemma_group	polarity	688	0.8008720930232558	0.368037527895432	0.3697845804988662	5.0
tfidf_char_3_5	context_marker_scope_5	lemma_group	polarity	688	0.7979651162790697	0.36946645716627957	0.3726255470829762	5.0
tfidf_char_3_5	context_only_10	lemma_group	polarity	688	0.8037790697674418	0.37967390809309104	0.38574213311055416	5.0
tfidf_char_3_5	context_marker_10	lemma_group	polarity	688	0.7994186046511628	0.38051077105251174	0.38618387818431116	5.0
tfidf_char_3_5	context_marker_scope_10	lemma_group	polarity	688	0.7965116279069767	0.3793266384296579	0.38556067588325654	5.0
tfidf_char_3_5	context_only_20	lemma_group	polarity	688	0.7979651162790697	0.3982101379969942	0.40842108166628743	5.0
tfidf_char_3_5	context_marker_20	lemma_group	polarity	688	0.8052325581395349	0.4116227171289338	0.42290249433106575	5.0
tfidf_char_3_5	context_marker_scope_20	lemma_group	polarity	688	0.8023255813953488	0.41043858450608006	0.4215195104986744	5.0
majority	none	within_lemma	polarity	355	0.7267605633802817	0.3333333333333333	0.2805872756933116	5.0
tfidf_char_3_5	marker_only	within_lemma	polarity	355	0.780281690140845	0.5385753913968688	0.5801593866109995	5.0
tfidf_char_3_5	marker_scope	within_lemma	polarity	355	0.752112676056338	0.44877830977352184	0.4807597468558371	5.0
tfidf_char_3_5	context_only_1	within_lemma	polarity	355	0.7746478873239436	0.4386627906976744	0.44699502588373785	5.0
tfidf_char_3_5	context_marker_1	within_lemma	polarity	355	0.7774647887323943	0.4457041343669251	0.4533991769547325	5.0
tfidf_char_3_5	context_marker_scope_1	within_lemma	polarity	355	0.7718309859154929	0.4373708010335917	0.4442348817161282	5.0
tfidf_char_3_5	context_only_3	within_lemma	polarity	355	0.7915492957746478	0.45791343669250645	0.46798760322769617	5.0
tfidf_char_3_5	context_marker_3	within_lemma	polarity	355	0.7859154929577464	0.45820413436692503	0.46807579903575885	5.0
tfidf_char_3_5	context_marker_scope_3	within_lemma	polarity	355	0.7859154929577464	0.45820413436692503	0.46668144208037826	5.0
tfidf_char_3_5	context_only_5	within_lemma	polarity	355	0.7718309859154929	0.44599483204134366	0.45271867612293143	5.0
tfidf_char_3_5	context_marker_5	within_lemma	polarity	355	0.7746478873239436	0.4530361757105943	0.45942133503875754	5.0
tfidf_char_3_5	context_marker_scope_5	within_lemma	polarity	355	0.7690140845070422	0.44757751937984497	0.45314392238505397	5.0
tfidf_char_3_5	context_only_10	within_lemma	polarity	355	0.7605633802816901	0.45914272685818514	0.4775143061127601	5.0
